String,Local,Quantum,Local + 1,Quantum - (Local + 1)
'452344050142150',0.5294,0.4181,0.32,0.09810000000000002
'554045520032231',0.5,0.4018,0.2979,0.10389999999999999
'415025231524342',0.5294,0.4261,0.3214,0.10469999999999996
'424042035121235',0.5,0.4079,0.2821,0.12579999999999997
'551521514053234',0.5294,0.4201,0.321,0.09909999999999997
'253430051211155',0.526,0.4112,0.3234,0.08779999999999999
'351453525553452',0.5294,0.4231,0.3195,0.10359999999999997
'043100130031342',0.5294,0.4159,0.3187,0.09720000000000001
'303343414204255',0.5294,0.4272,0.3293,0.09790000000000004
'312343430233232',0.5294,0.4187,0.3307,0.08800000000000002
'241014425104212',0.5,0.3921,0.253,0.1391
'002551541233432',0.5294,0.4138,0.3273,0.08650000000000002
'304130322435245',0.5263,0.4301,0.3375,0.09259999999999996
'504000512115120',0.5294,0.4323,0.3377,0.09460000000000002
'324103113233103',0.5185,0.4071,0.2903,0.11680000000000001
'011052345013523',0.5294,0.4205,0.3207,0.0998
'512435030444321',0.527,0.4232,0.339,0.0842
'152242115441454',0.5333,0.4256,0.3404,0.0852
'142212201053435',0.5,0.3802,0.2727,0.10749999999999998
