A length: 82
A row length: 57591
Fast reject!1out of 4
Fast reject!2out of 22
Fast reject!3out of 23
Fast reject!4out of 24
Fast reject!5out of 25
Fast reject!6out of 27
Fast reject!7out of 30
Fast reject!8out of 32
Fast reject!9out of 33
Fast reject!10out of 36
Fast reject!11out of 39
Fast reject!12out of 40
Fast reject!13out of 41
Fast reject!14out of 42
Fast reject!15out of 43
Fast reject!16out of 45
Fast reject!17out of 48
Fast reject!18out of 49
Fast reject!19out of 50
Fast reject!20out of 72
Fast reject!21out of 73
Fast reject!22out of 79
Fast reject!23out of 84
Fast reject!24out of 85
Fast reject!25out of 89
Fast reject!26out of 91
Fast reject!27out of 95
Fast reject!28out of 102
Fast reject!29out of 105
Fast reject!30out of 107
Fast reject!31out of 109
Fast reject!32out of 111
Fast reject!33out of 112
Fast reject!34out of 114
Fast reject!35out of 122
Fast reject!36out of 124
Fast reject!37out of 130
Fast reject!38out of 141
Fast reject!39out of 147
Fast reject!40out of 149
Fast reject!41out of 151
Fast reject!42out of 155
Fast reject!43out of 156
Fast reject!44out of 161
Fast reject!45out of 167
Fast reject!46out of 170
Fast reject!47out of 172
Fast reject!48out of 174
Fast reject!49out of 175
Fast reject!50out of 176
Fast reject!51out of 178
Fast reject!52out of 179
Fast reject!53out of 181
Fast reject!54out of 184
Fast reject!55out of 186
Fast reject!56out of 194
Fast reject!57out of 205
Fast reject!58out of 209
Fast reject!59out of 218
Fast reject!60out of 219
Fast reject!61out of 231
Fast reject!62out of 232
Fast reject!63out of 233
Fast reject!64out of 234
Fast reject!65out of 238
Fast reject!66out of 240
Fast reject!67out of 242
Fast reject!68out of 245
Fast reject!69out of 247
Fast reject!70out of 248
Fast reject!71out of 249
Fast reject!72out of 256
Fast reject!73out of 260
Fast reject!74out of 266
Fast reject!75out of 267
Fast reject!76out of 276
Fast reject!77out of 277
Fast reject!78out of 280
Fast reject!79out of 283
Fast reject!80out of 289
Fast reject!81out of 295
Fast reject!82out of 301
Fast reject!83out of 304
Fast reject!84out of 307
Fast reject!85out of 311
Fast reject!86out of 313
Fast reject!87out of 314
Fast reject!88out of 318
Fast reject!89out of 325
Fast reject!90out of 332
Fast reject!91out of 334
Fast reject!92out of 342
Fast reject!93out of 345
Fast reject!94out of 347
Fast reject!95out of 348
Fast reject!96out of 349
Fast reject!97out of 357
Fast reject!98out of 367
Fast reject!99out of 376
Fast reject!100out of 383
Fast reject!101out of 391
Fast reject!102out of 393
Fast reject!103out of 396
Fast reject!104out of 404
Fast reject!105out of 409
Fast reject!106out of 412
Fast reject!107out of 419
Fast reject!108out of 420
Fast reject!109out of 424
Fast reject!110out of 433
Fast reject!111out of 439
Fast reject!112out of 440
Fast reject!113out of 444
Fast reject!114out of 448
Fast reject!115out of 451
Fast reject!116out of 452
Fast reject!117out of 456
Fast reject!118out of 460
Fast reject!119out of 461
Fast reject!120out of 462
Fast reject!121out of 463
Fast reject!122out of 465
Fast reject!123out of 473
Fast reject!124out of 479
Fast reject!125out of 480
Fast reject!126out of 486
Fast reject!127out of 487
Fast reject!128out of 489
Fast reject!129out of 490
Fast reject!130out of 498
Fast reject!131out of 502
Fast reject!132out of 504
Fast reject!133out of 505
Fast reject!134out of 507
Fast reject!135out of 512
Fast reject!136out of 513
Fast reject!137out of 516
Fast reject!138out of 531
Fast reject!139out of 532
Fast reject!140out of 533
Fast reject!141out of 535
Fast reject!142out of 537
Fast reject!143out of 540
Fast reject!144out of 541
Fast reject!145out of 546
Fast reject!146out of 547
Fast reject!147out of 551
Fast reject!148out of 555
Fast reject!149out of 556
Fast reject!150out of 560
Fast reject!151out of 573
Fast reject!152out of 576
Fast reject!153out of 578
Fast reject!154out of 587
Fast reject!155out of 594
Fast reject!156out of 598
Fast reject!157out of 599
Fast reject!158out of 604
Fast reject!159out of 606
Fast reject!160out of 608
Fast reject!161out of 614
Fast reject!162out of 618
Fast reject!163out of 620
Fast reject!164out of 624
Fast reject!165out of 627
Fast reject!166out of 633
Fast reject!167out of 634
Fast reject!168out of 643
Fast reject!169out of 644
Fast reject!170out of 652
Fast reject!171out of 657
Fast reject!172out of 658
Fast reject!173out of 668
Fast reject!174out of 672
Fast reject!175out of 674
Fast reject!176out of 681
Fast reject!177out of 684
Fast reject!178out of 685
Fast reject!179out of 687
Fast reject!180out of 693
Fast reject!181out of 702
Fast reject!182out of 703
Fast reject!183out of 707
Fast reject!184out of 709
Fast reject!185out of 715
Fast reject!186out of 720
Fast reject!187out of 722
Fast reject!188out of 729
Fast reject!189out of 740
Fast reject!190out of 741
Fast reject!191out of 749
Fast reject!192out of 750
Fast reject!193out of 754
Fast reject!194out of 758
Fast reject!195out of 761
Fast reject!196out of 765
Fast reject!197out of 768
Fast reject!198out of 770
Fast reject!199out of 777
Fast reject!200out of 779
Fast reject!201out of 785
Fast reject!202out of 791
Fast reject!203out of 794
Fast reject!204out of 795
Fast reject!205out of 796
Fast reject!206out of 797
Fast reject!207out of 800
Fast reject!208out of 805
Fast reject!209out of 820
Fast reject!210out of 824
Fast reject!211out of 827
Fast reject!212out of 828
Fast reject!213out of 842
Fast reject!214out of 848
Fast reject!215out of 856
Fast reject!216out of 857
Fast reject!217out of 863
Fast reject!218out of 869
Fast reject!219out of 870
Fast reject!220out of 873
Fast reject!221out of 874
Fast reject!222out of 877
Fast reject!223out of 879
Fast reject!224out of 884
Fast reject!225out of 895
Fast reject!226out of 897
Fast reject!227out of 901
Fast reject!228out of 905
Fast reject!229out of 907
Fast reject!230out of 912
Fast reject!231out of 913
Fast reject!232out of 915
Fast reject!233out of 917
Fast reject!234out of 925
Fast reject!235out of 926
Fast reject!236out of 927
Fast reject!237out of 934
Fast reject!238out of 937
Fast reject!239out of 938
Fast reject!240out of 939
Fast reject!241out of 948
Fast reject!242out of 973
Fast reject!243out of 974
Fast reject!244out of 975
Fast reject!245out of 976
Fast reject!246out of 977
Fast reject!247out of 978
Fast reject!248out of 990
Fast reject!249out of 991
Fast reject!250out of 994
Fast reject!251out of 996
Fast reject!252out of 1000
Fast reject!253out of 1003
Fast reject!254out of 1014
Fast reject!255out of 1016
Fast reject!256out of 1017
Fast reject!257out of 1018
Fast reject!258out of 1019
Fast reject!259out of 1022
Fast reject!260out of 1023
Fast reject!261out of 1028
Fast reject!262out of 1037
Fast reject!263out of 1043
Fast reject!264out of 1044
Fast reject!265out of 1047
Fast reject!266out of 1049
Fast reject!267out of 1051
Fast reject!268out of 1057
Fast reject!269out of 1058
Fast reject!270out of 1063
Fast reject!271out of 1065
Fast reject!272out of 1077
Fast reject!273out of 1083
Fast reject!274out of 1085
Fast reject!275out of 1086
Fast reject!276out of 1087
Fast reject!277out of 1088
Fast reject!278out of 1089
Fast reject!279out of 1098
Fast reject!280out of 1099
Fast reject!281out of 1100
Fast reject!282out of 1104
Fast reject!283out of 1107
Fast reject!284out of 1111
Fast reject!285out of 1118
Fast reject!286out of 1121
Fast reject!287out of 1123
Fast reject!288out of 1124
Fast reject!289out of 1130
Fast reject!290out of 1131
Fast reject!291out of 1132
Fast reject!292out of 1134
Fast reject!293out of 1138
Fast reject!294out of 1139
Fast reject!295out of 1154
Fast reject!296out of 1159
Fast reject!297out of 1169
Fast reject!298out of 1172
Fast reject!299out of 1180
Fast reject!300out of 1188
